iter	TotalF1	MultiClass
0	0.4667526743	1.094325579
1	0.4940650716	1.089286574
2	0.4992583133	1.084484954
3	0.4975699114	1.079950463
4	0.4956151403	1.075613889
5	0.4991854586	1.071468866
6	0.4954190509	1.067538079
7	0.5031930838	1.063770602
8	0.5036117141	1.060129977
9	0.5034189747	1.056679745
10	0.5036669816	1.053484028
11	0.5037665231	1.050339352
12	0.5044659433	1.047425231
13	0.5047536132	1.044530787
14	0.5043036672	1.041829398
15	0.502703555	1.039216667
16	0.5026368436	1.036768056
17	0.5036668399	1.034279514
18	0.505473541	1.031991667
19	0.5045716557	1.029737731
20	0.506880191	1.027557755
21	0.5078642	1.025450347
22	0.5084908538	1.02343912
23	0.5090503752	1.021525694
24	0.5094602109	1.019690046
25	0.5087756999	1.017883218
26	0.5093050067	1.016123958
27	0.5105813361	1.01440463
28	0.5112950454	1.012772222
29	0.5115330805	1.011189005
30	0.5117185894	1.009678009
31	0.5120131161	1.008209954
32	0.5132110108	1.006749653
33	0.5132554746	1.005366667
34	0.5144826098	1.004048958
35	0.5143253612	1.002748032
36	0.5152141555	1.001383796
37	0.5156525534	1.000155324
38	0.5156051067	0.9989071759
39	0.5162247566	0.997725463
40	0.5167575547	0.9965476852
41	0.5170683843	0.9954265046
42	0.5177279999	0.9943027778
43	0.5181194952	0.9932662037
44	0.5184268782	0.9922690972
45	0.5182488093	0.991243287
46	0.5185217771	0.9902726852
47	0.5190610998	0.9893049769
48	0.5192076837	0.988409375
49	0.5197413243	0.9874769676
50	0.5203198298	0.9866128472
51	0.5203192691	0.9857173611
52	0.5208060906	0.9847384259
53	0.5206632197	0.9838960648
54	0.5212352405	0.9829998843
55	0.521179352	0.9821623843
56	0.5216006809	0.9813991898
57	0.5220608129	0.9805724537
58	0.5223209027	0.9798052083
59	0.5227158146	0.9790591435
60	0.5227903383	0.9783079861
61	0.5232018985	0.9776328704
62	0.5234145371	0.9769958333
63	0.5238188044	0.9763541667
64	0.5239696848	0.9757172454
65	0.5245529202	0.9750037037
66	0.5243578048	0.9743199074
67	0.5247456672	0.9736866898
68	0.524848698	0.9731047454
69	0.5252149261	0.9723997685
70	0.5256309399	0.9717731481
71	0.5262263012	0.9711018519
72	0.5266545773	0.9705204861
73	0.5271976665	0.9698887731
74	0.5273432875	0.9693305556
75	0.5278025862	0.9687583333
76	0.5282269759	0.9681180556
77	0.5286221893	0.967557581
78	0.5288112066	0.9670587384
79	0.5292915036	0.9664958912
80	0.5294948228	0.9659480324
81	0.5298720426	0.9654108796
82	0.5303313686	0.9648532407
83	0.5309042054	0.9643751157
84	0.531261249	0.9638622685
85	0.5315147713	0.9633754051
86	0.5315657794	0.9628446759
87	0.5319764739	0.9622883681
