iter	Passed	Remaining
0	34	102790
1	62	94299
2	93	93525
3	120	90356
4	147	88263
5	173	86399
6	199	85329
7	223	83538
8	252	83792
9	278	83193
10	302	82112
11	327	81445
12	354	81515
13	382	81504
14	406	80955
15	430	80346
16	456	80053
17	481	79716
18	505	79367
19	530	79083
20	555	78829
21	578	78319
22	602	77938
23	625	77582
24	651	77534
25	675	77316
26	701	77283
27	724	76944
28	747	76625
29	771	76357
30	796	76323
31	822	76319
32	850	76459
33	874	76300
34	899	76165
35	925	76221
36	949	76056
37	973	75892
38	998	75816
39	1022	75693
40	1047	75594
41	1071	75449
42	1098	75513
43	1122	75401
44	1149	75472
45	1172	75326
46	1196	75154
47	1218	74913
48	1242	74824
49	1264	74586
50	1289	74591
51	1316	74616
52	1338	74406
53	1361	74299
54	1386	74241
55	1413	74327
56	1437	74202
57	1461	74148
58	1484	74012
59	1507	73854
60	1530	73730
61	1557	73784
62	1583	73815
63	1607	73730
64	1635	73858
65	1662	73905
66	1686	73828
67	1712	73820
68	1737	73808
69	1761	73725
70	1787	73756
71	1810	73643
72	1833	73526
73	1859	73521
74	1883	73462
75	1907	73400
76	1932	73360
77	1957	73317
78	1984	73385
79	2011	73433
80	2037	73422
81	2061	73363
82	2087	73360
83	2113	73372
84	2140	73415
85	2167	73451
86	2194	73493
87	2221	73509
88	2247	73502
89	2273	73507
90	2298	73475
91	2325	73493
92	2353	73550
93	2379	73576
94	2405	73559
95	2431	73546
96	2455	73482
97	2483	73542
98	2510	73552
99	2538	73615
100	2565	73623
101	2589	73586
102	2615	73552
103	2640	73523
104	2666	73517
105	2709	73980
106	2748	74302
107	2778	74399
108	2810	74533
109	2836	74509
110	2863	74534
111	2892	74580
112	2919	74581
113	2945	74579
114	2970	74529
115	2997	74515
116	3024	74518
117	3050	74511
118	3076	74471
119	3102	74455
120	3124	74339
121	3149	74293
122	3174	74247
123	3196	74145
124	3221	74099
125	3245	74038
126	3268	73937
127	3294	73911
128	3321	73927
129	3345	73862
130	3371	73831
131	3397	73817
132	3422	73771
133	3446	73720
134	3474	73727
135	3499	73693
136	3523	73628
137	3548	73592
138	3572	73536
139	3599	73540
140	3624	73491
141	3650	73467
142	3677	73469
143	3704	73465
144	3730	73451
145	3757	73448
146	3778	73332
147	3802	73265
148	3826	73209
149	3851	73186
150	3875	73119
151	3899	73059
152	3923	72998
153	3947	72950
154	3970	72873
155	3993	72797
156	4016	72723
157	4043	72731
158	4070	72724
159	4093	72659
160	4120	72664
161	4146	72643
162	4172	72623
163	4196	72573
164	4221	72537
165	4246	72491
166	4268	72417
167	4291	72343
168	4316	72301
169	4339	72241
170	4366	72241
171	4391	72205
172	4414	72140
173	4438	72082
174	4460	72006
175	4500	72216
176	4545	72496
177	4570	72468
178	4600	72509
179	4624	72452
180	4650	72423
181	4677	72426
182	4704	72414
183	4728	72359
184	4753	72324
185	4778	72290
186	4800	72209
187	4828	72221
188	4853	72192
189	4880	72172
190	4906	72164
191	4932	72139
192	4958	72123
193	4984	72089
194	5011	72082
195	5037	72065
196	5057	71966
197	5080	71896
198	5105	71866
